influencer_id,influencer_size_category,followers_count,avg_reach,avg_impressions,engagement_rate,avg_engagements_per_post,audience_gender_split,audience_age_split,audience_country_top3,audience_city_top3,follower_growth_rate
21,micro,86426,46897,57245,0.0866,7484,"{'male': 42.42, 'female': 57.58}","{'13-17': 13.87, '18-24': 10.98, '25-34': 22.54, '35-44': 20.23, '45-54': 9.83, '55+': 22.54}","{'India': 28.37, 'USA': 21.99, 'UAE': 17.73}","{'Kolkata': 17.73, 'Chennai': 15.91, 'Delhi': 14.55}",0.126
22,nano,1516,706,1270,0.1245,188,"{'male': 51.61, 'female': 48.39}","{'13-17': 14.84, '18-24': 11.72, '25-34': 25.78, '35-44': 3.91, '45-54': 31.25, '55+': 12.5}","{'UAE': 33.33, 'India': 24.51, 'UK': 23.53}","{'London': 20.0, 'Chennai': 17.84, 'Kolkata': 17.3}",0.048
23,micro,77893,31631,61532,0.054,4206,"{'male': 57.89, 'female': 42.11}","{'13-17': 21.89, '18-24': 7.69, '25-34': 15.98, '35-44': 20.12, '45-54': 14.2, '55+': 20.12}","{'UAE': 41.94, 'USA': 17.2, 'India': 16.13}","{'Hyderabad': 21.16, 'Mumbai': 19.05, 'Delhi': 16.4}",0.057
24,macro,685519,388755,562710,0.0426,29203,"{'male': 75.0, 'female': 25.0}","{'13-17': 11.69, '18-24': 22.08, '25-34': 14.29, '35-44': 7.79, '45-54': 25.97, '55+': 18.18}","{'India': 30.08, 'USA': 25.2, 'Germany': 22.76}","{'Kolkata': 20.51, 'Bangalore': 17.44, 'Chennai': 15.9}",-0.05
25,mid,458838,239446,453428,0.0553,25373,"{'male': 31.37, 'female': 68.63}","{'13-17': 33.96, '18-24': 7.55, '25-34': 23.58, '35-44': 11.32, '45-54': 14.15, '55+': 9.43}","{'USA': 28.46, 'India': 20.77, 'UAE': 20.0}","{'Mumbai': 20.67, 'Bangalore': 16.76, 'Chennai': 14.53}",0.073
26,macro,708427,315749,497569,0.0291,20615,"{'male': 77.27, 'female': 22.73}","{'13-17': 22.82, '18-24': 10.07, '25-34': 17.45, '35-44': 17.45, '45-54': 12.08, '55+': 20.13}","{'UAE': 29.06, 'USA': 25.64, 'India': 17.09}","{'Kolkata': 25.83, 'London': 19.87, 'Bangalore': 10.6}",0.051
27,micro,50317,20589,36296,0.0407,2047,"{'male': 84.78, 'female': 15.22}","{'13-17': 13.25, '18-24': 7.28, '25-34': 20.53, '35-44': 25.83, '45-54': 11.26, '55+': 21.85}","{'India': 34.07, 'UAE': 32.97, 'UK': 21.98}","{'London': 20.41, 'Hyderabad': 18.37, 'New York': 16.33}",0.128
28,micro,97814,42958,46463,0.075,7336,"{'male': 46.67, 'female': 53.33}","{'13-17': 31.2, '18-24': 6.4, '25-34': 18.4, '35-44': 9.6, '45-54': 21.6, '55+': 12.8}","{'UK': 27.35, 'USA': 24.79, 'India': 19.66}","{'Hyderabad': 20.36, 'Kolkata': 17.37, 'Delhi': 15.57}",0.199
29,micro,83465,36269,48732,0.0747,6234,"{'male': 60.0, 'female': 40.0}","{'13-17': 15.82, '18-24': 13.78, '25-34': 19.39, '35-44': 20.41, '45-54': 14.29, '55+': 16.33}","{'India': 21.7, 'UK': 20.75, 'USA': 19.81}","{'Chennai': 18.69, 'Kolkata': 13.64, 'Bangalore': 13.13}",0.185
30,micro,35129,14951,27953,0.0992,3484,"{'male': 57.97, 'female': 42.03}","{'13-17': 14.18, '18-24': 25.37, '25-34': 13.43, '35-44': 14.93, '45-54': 25.37, '55+': 6.72}","{'USA': 29.63, 'UAE': 25.0, 'Germany': 18.52}","{'New York': 19.39, 'Mumbai': 17.58, 'London': 15.76}",0.101
31,nano,5793,2478,3986,0.111,643,"{'male': 42.37, 'female': 57.63}","{'13-17': 14.6, '18-24': 24.82, '25-34': 27.74, '35-44': 13.87, '45-54': 13.87, '55+': 5.11}","{'USA': 27.73, 'UAE': 26.05, 'India': 20.17}","{'New York': 21.02, 'Mumbai': 18.75, 'Chennai': 14.77}",0.183
32,nano,6148,2565,2859,0.0609,374,"{'male': 57.14, 'female': 42.86}","{'13-17': 23.66, '18-24': 16.03, '25-34': 6.11, '35-44': 12.98, '45-54': 16.79, '55+': 24.43}","{'Germany': 27.71, 'USA': 22.89, 'India': 20.48}","{'Kolkata': 16.49, 'New York': 16.49, 'Delhi': 13.4}",0.061
33,mega,3714963,1770594,2213605,0.0072,26747,"{'male': 43.59, 'female': 56.41}","{'13-17': 14.66, '18-24': 12.04, '25-34': 20.42, '35-44': 15.71, '45-54': 17.8, '55+': 19.37}","{'UAE': 29.79, 'UK': 24.47, 'Germany': 15.96}","{'Hyderabad': 17.18, 'New York': 16.74, 'Kolkata': 14.98}",0.125
34,mid,374960,187562,343377,0.0314,11773,"{'male': 38.1, 'female': 61.9}","{'13-17': 13.85, '18-24': 13.85, '25-34': 25.38, '35-44': 12.31, '45-54': 7.69, '55+': 26.92}","{'UAE': 27.13, 'Germany': 24.03, 'USA': 23.26}","{'Kolkata': 23.33, 'Delhi': 20.0, 'Mumbai': 16.0}",0.115
35,mega,2670216,1165725,1243696,0.0256,68357,"{'male': 45.16, 'female': 54.84}","{'13-17': 22.99, '18-24': 20.69, '25-34': 17.24, '35-44': 15.52, '45-54': 18.97, '55+': 4.6}","{'UK': 28.7, 'India': 25.93, 'USA': 19.44}","{'New York': 19.9, 'Mumbai': 18.37, 'Bangalore': 16.33}",0.196
36,nano,4756,2697,3658,0.1112,528,"{'male': 63.64, 'female': 36.36}","{'13-17': 14.36, '18-24': 19.31, '25-34': 18.32, '35-44': 18.32, '45-54': 18.81, '55+': 10.89}","{'USA': 47.54, 'India': 14.75, 'UK': 14.75}","{'Chennai': 23.53, 'London': 19.61, 'Bangalore': 13.73}",-0.047
37,nano,6071,3067,4540,0.0719,436,"{'male': 77.78, 'female': 22.22}","{'13-17': 21.95, '18-24': 20.33, '25-34': 30.89, '35-44': 8.13, '45-54': 8.13, '55+': 10.57}","{'USA': 36.11, 'UK': 24.07, 'Germany': 22.22}","{'Hyderabad': 24.24, 'Bangalore': 18.79, 'Chennai': 16.36}",0.121
38,micro,88344,35432,63205,0.0798,7049,"{'male': 33.33, 'female': 66.67}","{'13-17': 13.76, '18-24': 8.26, '25-34': 22.94, '35-44': 8.26, '45-54': 35.78, '55+': 11.01}","{'UK': 25.32, 'USA': 24.68, 'UAE': 22.73}","{'London': 20.43, 'New York': 19.35, 'Kolkata': 12.9}",0.126
39,macro,630767,266609,281539,0.0268,16904,"{'male': 45.07, 'female': 54.93}","{'13-17': 16.0, '18-24': 9.33, '25-34': 20.67, '35-44': 26.0, '45-54': 16.0, '55+': 12.0}","{'UAE': 34.82, 'UK': 31.25, 'Germany': 22.32}","{'Mumbai': 19.78, 'New York': 18.13, 'Bangalore': 17.03}",0.01
40,micro,62830,29761,33297,0.0407,2557,"{'male': 42.65, 'female': 57.35}","{'13-17': 18.14, '18-24': 17.16, '25-34': 16.18, '35-44': 17.65, '45-54': 19.61, '55+': 11.27}","{'UAE': 25.41, 'UK': 23.77, 'India': 19.67}","{'London': 20.42, 'Bangalore': 18.32, 'Mumbai': 16.75}",0.046
41,micro,84171,40128,47762,0.0856,7205,"{'male': 41.51, 'female': 58.49}","{'13-17': 11.72, '18-24': 12.41, '25-34': 25.52, '35-44': 19.31, '45-54': 11.03, '55+': 20.0}","{'India': 33.64, 'Germany': 28.04, 'UK': 16.82}","{'Kolkata': 21.11, 'New York': 20.56, 'Bangalore': 15.0}",0.179
42,macro,550299,295460,462378,0.0429,23607,"{'male': 72.09, 'female': 27.91}","{'13-17': 27.4, '18-24': 24.66, '25-34': 6.16, '35-44': 23.97, '45-54': 12.33, '55+': 5.48}","{'UK': 31.19, 'USA': 22.02, 'Germany': 21.1}","{'Mumbai': 17.91, 'Chennai': 15.42, 'Delhi': 13.93}",-0.026
43,mega,4996432,2429095,4638463,0.018,89935,"{'male': 44.83, 'female': 55.17}","{'13-17': 6.47, '18-24': 26.62, '25-34': 19.42, '35-44': 23.02, '45-54': 9.35, '55+': 15.11}","{'India': 23.93, 'Germany': 23.93, 'UAE': 20.86}","{'Delhi': 24.83, 'Bangalore': 13.42, 'Kolkata': 13.42}",0.028
44,macro,693260,353947,440726,0.0356,24680,"{'male': 64.71, 'female': 35.29}","{'13-17': 16.38, '18-24': 8.62, '25-34': 15.52, '35-44': 34.48, '45-54': 19.83, '55+': 5.17}","{'UAE': 29.31, 'Germany': 22.41, 'UK': 18.97}","{'London': 20.54, 'Bangalore': 18.92, 'Delhi': 17.3}",0.007
45,micro,21376,10905,14419,0.0721,1541,"{'male': 28.57, 'female': 71.43}","{'13-17': 20.12, '18-24': 20.12, '25-34': 21.3, '35-44': 12.43, '45-54': 16.57, '55+': 9.47}","{'UK': 30.63, 'UAE': 27.93, 'Germany': 22.52}","{'Chennai': 18.24, 'Bangalore': 16.47, 'New York': 15.88}",0.045
46,mid,106962,43064,63262,0.0544,5818,"{'male': 70.59, 'female': 29.41}","{'13-17': 22.58, '18-24': 23.39, '25-34': 10.48, '35-44': 22.58, '45-54': 6.45, '55+': 14.52}","{'USA': 32.0, 'Germany': 32.0, 'India': 14.0}","{'New York': 19.39, 'Hyderabad': 15.82, 'Kolkata': 15.31}",-0.042
47,nano,2230,1006,1450,0.12,267,"{'male': 33.33, 'female': 66.67}","{'13-17': 8.15, '18-24': 14.07, '25-34': 11.11, '35-44': 24.44, '45-54': 23.7, '55+': 18.52}","{'USA': 36.63, 'Germany': 21.78, 'UAE': 18.81}","{'Kolkata': 20.22, 'Chennai': 17.98, 'Delhi': 16.29}",0.127
48,micro,48368,22822,39098,0.0331,1600,"{'male': 73.68, 'female': 26.32}","{'13-17': 5.13, '18-24': 4.27, '25-34': 20.51, '35-44': 31.62, '45-54': 11.11, '55+': 27.35}","{'USA': 33.04, 'UAE': 25.22, 'Germany': 16.52}","{'Bangalore': 19.39, 'New York': 17.35, 'London': 16.84}",-0.02
49,mega,2650567,1354639,2226565,0.019,50360,"{'male': 40.0, 'female': 60.0}","{'13-17': 14.52, '18-24': 20.97, '25-34': 18.55, '35-44': 8.06, '45-54': 20.16, '55+': 17.74}","{'UAE': 23.3, 'USA': 22.33, 'Germany': 19.42}","{'Delhi': 17.55, 'Hyderabad': 15.43, 'Mumbai': 14.36}",0.152
50,micro,82210,39718,73214,0.0529,4348,"{'male': 66.67, 'female': 33.33}","{'13-17': 9.45, '18-24': 9.45, '25-34': 24.41, '35-44': 29.92, '45-54': 4.72, '55+': 22.05}","{'Germany': 39.36, 'USA': 30.85, 'UAE': 14.89}","{'Hyderabad': 20.54, 'Chennai': 15.68, 'Kolkata': 15.14}",0.14
51,nano,8628,4489,7493,0.1412,1218,"{'male': 48.61, 'female': 51.39}","{'13-17': 19.78, '18-24': 7.69, '25-34': 20.88, '35-44': 16.48, '45-54': 21.98, '55+': 13.19}","{'UAE': 30.43, 'India': 26.09, 'Germany': 20.87}","{'Delhi': 19.21, 'New York': 18.64, 'Chennai': 17.51}",0.017
52,micro,58507,32986,48307,0.0856,5008,"{'male': 22.5, 'female': 77.5}","{'13-17': 21.09, '18-24': 5.44, '25-34': 23.81, '35-44': 12.93, '45-54': 19.73, '55+': 17.01}","{'USA': 22.7, 'UAE': 20.86, 'India': 20.25}","{'Kolkata': 21.11, 'Mumbai': 18.89, 'Hyderabad': 18.33}",0.045
53,micro,16567,8773,11079,0.0798,1322,"{'male': 72.41, 'female': 27.59}","{'13-17': 28.37, '18-24': 26.95, '25-34': 12.06, '35-44': 16.31, '45-54': 3.55, '55+': 12.77}","{'UK': 32.79, 'Germany': 23.77, 'India': 18.03}","{'Hyderabad': 17.39, 'New York': 17.39, 'Delhi': 16.52}",0.061
54,nano,1954,1172,2326,0.1243,242,"{'male': 36.11, 'female': 63.89}","{'13-17': 17.82, '18-24': 15.52, '25-34': 17.24, '35-44': 17.24, '45-54': 9.2, '55+': 22.99}","{'USA': 27.87, 'UK': 26.23, 'India': 16.39}","{'Mumbai': 16.88, 'Delhi': 16.23, 'Chennai': 14.94}",0.133
55,nano,1586,740,945,0.1245,197,"{'male': 64.44, 'female': 35.56}","{'13-17': 15.66, '18-24': 8.43, '25-34': 24.1, '35-44': 15.66, '45-54': 14.46, '55+': 21.69}","{'USA': 29.85, 'Germany': 26.12, 'UAE': 22.39}","{'London': 21.38, 'Kolkata': 16.98, 'New York': 16.35}",0.102
56,mid,481538,257345,273810,0.065,31299,"{'male': 51.28, 'female': 48.72}","{'13-17': 35.24, '18-24': 12.38, '25-34': 5.71, '35-44': 7.62, '45-54': 7.62, '55+': 31.43}","{'USA': 27.86, 'Germany': 27.86, 'UK': 17.14}","{'New York': 25.32, 'Chennai': 18.35, 'Kolkata': 16.46}",-0.035
57,nano,2328,1369,1404,0.0671,156,"{'male': 14.63, 'female': 85.37}","{'13-17': 7.0, '18-24': 26.0, '25-34': 13.0, '35-44': 11.0, '45-54': 7.0, '55+': 36.0}","{'UK': 35.48, 'India': 24.73, 'USA': 24.73}","{'Chennai': 22.16, 'London': 19.32, 'Delhi': 15.91}",0.14
58,mid,289721,172653,205820,0.0465,13472,"{'male': 85.71, 'female': 14.29}","{'13-17': 19.23, '18-24': 20.0, '25-34': 13.08, '35-44': 6.15, '45-54': 24.62, '55+': 16.92}","{'Germany': 40.22, 'UAE': 21.74, 'UK': 14.13}","{'Bangalore': 19.9, 'Chennai': 17.28, 'New York': 17.28}",0.025
59,micro,96538,56528,82123,0.0968,9344,"{'male': 36.51, 'female': 63.49}","{'13-17': 19.46, '18-24': 20.81, '25-34': 11.41, '35-44': 15.44, '45-54': 19.46, '55+': 13.42}","{'UK': 33.33, 'UAE': 24.17, 'USA': 21.67}","{'London': 17.91, 'Mumbai': 15.42, 'Hyderabad': 15.42}",-0.044
60,macro,836439,486194,719069,0.0266,22249,"{'male': 71.15, 'female': 28.85}","{'13-17': 8.26, '18-24': 7.44, '25-34': 19.01, '35-44': 4.96, '45-54': 27.27, '55+': 33.06}","{'Germany': 35.0, 'USA': 28.0, 'India': 14.0}","{'London': 27.94, 'Kolkata': 16.18, 'Mumbai': 13.97}",0.096
61,mid,445196,202014,364790,0.062,27602,"{'male': 55.0, 'female': 45.0}","{'13-17': 26.52, '18-24': 12.12, '25-34': 9.85, '35-44': 25.76, '45-54': 6.82, '55+': 18.94}","{'USA': 29.27, 'India': 19.51, 'UAE': 19.51}","{'Mumbai': 20.0, 'Bangalore': 18.67, 'New York': 16.67}",0.065
62,mid,221252,110264,213844,0.0215,4756,"{'male': 80.65, 'female': 19.35}","{'13-17': 10.78, '18-24': 21.56, '25-34': 10.18, '35-44': 17.37, '45-54': 17.37, '55+': 22.75}","{'UK': 30.95, 'UAE': 28.57, 'India': 15.87}","{'Delhi': 21.02, 'Bangalore': 19.75, 'Hyderabad': 15.29}",-0.037
63,nano,2282,942,1879,0.0879,200,"{'male': 44.0, 'female': 56.0}","{'13-17': 23.81, '18-24': 6.35, '25-34': 4.76, '35-44': 30.95, '45-54': 15.08, '55+': 19.05}","{'UK': 37.25, 'Germany': 33.33, 'UAE': 12.75}","{'London': 17.32, 'Chennai': 16.45, 'Bangalore': 13.85}",-0.029
64,mid,280766,118274,182546,0.0605,16986,"{'male': 46.15, 'female': 53.85}","{'13-17': 11.38, '18-24': 10.57, '25-34': 10.57, '35-44': 21.95, '45-54': 24.39, '55+': 21.14}","{'UAE': 34.44, 'UK': 33.33, 'Germany': 13.33}","{'Hyderabad': 16.06, 'Mumbai': 15.03, 'New York': 14.51}",0.016
65,macro,790704,367099,591818,0.0106,8381,"{'male': 68.89, 'female': 31.11}","{'13-17': 15.83, '18-24': 6.47, '25-34': 28.78, '35-44': 27.34, '45-54': 7.91, '55+': 13.67}","{'India': 34.86, 'Germany': 31.19, 'USA': 14.68}","{'Delhi': 19.69, 'Hyderabad': 16.58, 'New York': 16.58}",0.195
66,macro,750310,438898,802226,0.0209,15681,"{'male': 60.0, 'female': 40.0}","{'13-17': 29.75, '18-24': 18.18, '25-34': 17.36, '35-44': 13.22, '45-54': 4.96, '55+': 16.53}","{'UK': 24.66, 'UAE': 23.29, 'Germany': 18.49}","{'Mumbai': 19.13, 'Bangalore': 16.39, 'Chennai': 14.75}",0.133
67,macro,839101,461384,638520,0.0426,35745,"{'male': 83.33, 'female': 16.67}","{'13-17': 19.28, '18-24': 9.64, '25-34': 4.82, '35-44': 21.08, '45-54': 21.69, '55+': 23.49}","{'India': 31.03, 'UAE': 31.03, 'Germany': 21.84}","{'Chennai': 24.22, 'Mumbai': 19.25, 'Hyderabad': 13.66}",0.16
68,macro,875373,351480,598213,0.0189,16544,"{'male': 44.44, 'female': 55.56}","{'13-17': 10.56, '18-24': 20.42, '25-34': 8.45, '35-44': 12.68, '45-54': 20.42, '55+': 27.46}","{'UAE': 25.44, 'India': 24.56, 'UK': 24.56}","{'Mumbai': 18.23, 'Bangalore': 17.24, 'New York': 17.24}",0.021
69,micro,82359,43895,52964,0.047,3870,"{'male': 65.12, 'female': 34.88}","{'13-17': 18.98, '18-24': 13.87, '25-34': 12.41, '35-44': 24.09, '45-54': 19.71, '55+': 10.95}","{'USA': 22.86, 'Germany': 21.43, 'UAE': 20.71}","{'Hyderabad': 18.32, 'New York': 16.34, 'Mumbai': 15.35}",-0.03
70,mega,4770582,2171345,3171015,0.0262,124989,"{'male': 83.87, 'female': 16.13}","{'13-17': 23.48, '18-24': 10.43, '25-34': 13.91, '35-44': 19.13, '45-54': 14.78, '55+': 18.26}","{'USA': 32.29, 'India': 25.0, 'Germany': 16.67}","{'London': 23.67, 'Bangalore': 21.3, 'Hyderabad': 20.71}",0.195
71,macro,970235,458286,651184,0.0401,38906,"{'male': 67.92, 'female': 32.08}","{'13-17': 6.31, '18-24': 13.51, '25-34': 30.63, '35-44': 27.03, '45-54': 7.21, '55+': 15.32}","{'Germany': 32.79, 'USA': 21.31, 'India': 18.03}","{'Mumbai': 21.19, 'Bangalore': 17.22, 'Chennai': 15.23}",-0.046
72,mega,3917047,2223053,3671733,0.0155,60714,"{'male': 25.0, 'female': 75.0}","{'13-17': 11.03, '18-24': 18.62, '25-34': 8.97, '35-44': 21.38, '45-54': 22.07, '55+': 17.93}","{'UK': 24.19, 'India': 20.97, 'USA': 18.55}","{'New York': 22.47, 'Hyderabad': 19.1, 'Delhi': 16.29}",0.052
73,macro,740379,379522,393743,0.028,20730,"{'male': 44.83, 'female': 55.17}","{'13-17': 20.74, '18-24': 4.44, '25-34': 27.41, '35-44': 13.33, '45-54': 5.19, '55+': 28.89}","{'UAE': 33.33, 'Germany': 31.58, 'USA': 14.04}","{'Kolkata': 20.97, 'Chennai': 18.82, 'Bangalore': 18.28}",0.156
74,micro,53473,24960,31056,0.0835,4464,"{'male': 76.92, 'female': 23.08}","{'13-17': 22.75, '18-24': 7.19, '25-34': 23.35, '35-44': 14.37, '45-54': 13.77, '55+': 18.56}","{'USA': 29.92, 'Germany': 24.41, 'UAE': 17.32}","{'London': 19.49, 'Mumbai': 15.9, 'Kolkata': 14.87}",-0.05
75,mid,495570,218889,403784,0.0378,18732,"{'male': 15.79, 'female': 84.21}","{'13-17': 18.24, '18-24': 16.22, '25-34': 16.89, '35-44': 12.84, '45-54': 12.16, '55+': 23.65}","{'India': 27.88, 'UAE': 25.0, 'USA': 17.31}","{'Bangalore': 20.0, 'New York': 17.42, 'London': 16.77}",0.1
76,nano,1755,805,1283,0.0799,140,"{'male': 21.28, 'female': 78.72}","{'13-17': 16.07, '18-24': 22.62, '25-34': 20.83, '35-44': 14.88, '45-54': 3.57, '55+': 22.02}","{'India': 31.86, 'Germany': 24.78, 'USA': 22.12}","{'Kolkata': 18.5, 'New York': 18.5, 'Chennai': 17.0}",0.179
77,micro,15729,8781,10281,0.0449,706,"{'male': 56.67, 'female': 43.33}","{'13-17': 4.24, '18-24': 13.56, '25-34': 11.02, '35-44': 30.51, '45-54': 28.81, '55+': 11.86}","{'USA': 27.41, 'UAE': 22.96, 'India': 18.52}","{'London': 18.1, 'Delhi': 16.74, 'New York': 16.74}",0.081
78,mid,149024,61858,99176,0.0361,5379,"{'male': 56.52, 'female': 43.48}","{'13-17': 34.26, '18-24': 4.63, '25-34': 5.56, '35-44': 15.74, '45-54': 14.81, '55+': 25.0}","{'USA': 24.53, 'UK': 24.53, 'India': 23.58}","{'Hyderabad': 23.6, 'Mumbai': 19.88, 'Delhi': 14.91}",-0.032
